The initialization template is either None or invalid, the servers and jobs will be generated randomly
Episode 100, Average_updates: 0.244808, iterations: 49900,reward: -2446.958627
Episode 200, Average_updates: 0.242995, iterations: 99800,reward: -2427.761085
Episode 300, Average_updates: 0.242337, iterations: 149700,reward: -2420.896811
Episode 400, Average_updates: 0.240480, iterations: 199600,reward: -2404.887821
Episode 500, Average_updates: 0.241638, iterations: 249500,reward: -2414.003624
Episode 600, Average_updates: 0.242869, iterations: 299400,reward: -2426.077475
Episode 700, Average_updates: 0.241376, iterations: 349300,reward: -2411.979232
Episode 800, Average_updates: 0.243355, iterations: 399200,reward: -2431.404097
Episode 900, Average_updates: 0.244114, iterations: 449100,reward: -2438.905648
Episode 1000, Average_updates: 0.243595, iterations: 499000,reward: -2432.135690
Episode 1100, Average_updates: 0.242838, iterations: 548900,reward: -2427.337372
Episode 1200, Average_updates: 0.242862, iterations: 598800,reward: -2425.332174
Episode 1300, Average_updates: 0.242340, iterations: 648700,reward: -2422.623915
Episode 1400, Average_updates: 0.242576, iterations: 698600,reward: -2423.987608
Episode 1500, Average_updates: 0.241778, iterations: 748500,reward: -2415.533479
Episode 1600, Average_updates: 0.243485, iterations: 798400,reward: -2432.623621
Episode 1700, Average_updates: 0.242640, iterations: 848300,reward: -2425.284498
Episode 1800, Average_updates: 0.241757, iterations: 898200,reward: -2416.145456
Episode 1900, Average_updates: 0.243208, iterations: 948100,reward: -2430.146618
Episode 2000, Average_updates: 0.240351, iterations: 998000,reward: -2401.738537
Episode 2100, Average_updates: 0.242323, iterations: 1047900,reward: -2420.273500
Episode 2200, Average_updates: 0.242009, iterations: 1097800,reward: -2418.960496
Episode 2300, Average_updates: 0.243001, iterations: 1147700,reward: -2428.827119
Episode 2400, Average_updates: 0.241447, iterations: 1197600,reward: -2411.852985
Episode 2500, Average_updates: 0.244029, iterations: 1247500,reward: -2437.782268
Episode 2600, Average_updates: 0.241807, iterations: 1297400,reward: -2416.729536
Episode 2700, Average_updates: 0.242806, iterations: 1347300,reward: -2423.788650
Episode 2800, Average_updates: 0.243203, iterations: 1397200,reward: -2429.535307
Episode 2900, Average_updates: 0.241470, iterations: 1447100,reward: -2412.571087
Episode 3000, Average_updates: 0.242834, iterations: 1497000,reward: -2424.863095
Episode 3100, Average_updates: 0.242324, iterations: 1546900,reward: -2422.270030
Episode 3200, Average_updates: 0.243725, iterations: 1596800,reward: -2433.782189
Episode 3300, Average_updates: 0.242680, iterations: 1646700,reward: -2425.964271
Episode 3400, Average_updates: 0.242766, iterations: 1696600,reward: -2425.187417
Episode 3500, Average_updates: 0.242419, iterations: 1746500,reward: -2420.244059
Episode 3600, Average_updates: 0.242946, iterations: 1796400,reward: -2428.140205
Episode 3700, Average_updates: 0.242969, iterations: 1846300,reward: -2426.793845
Episode 3800, Average_updates: 0.243916, iterations: 1896200,reward: -2437.298088
Episode 3900, Average_updates: 0.242848, iterations: 1946100,reward: -2424.820833
Episode 4000, Average_updates: 0.244125, iterations: 1996000,reward: -2438.351877
Episode 4100, Average_updates: 0.242895, iterations: 2045900,reward: -2427.216701
Episode 4200, Average_updates: 0.243427, iterations: 2095800,reward: -2432.325485
Episode 4300, Average_updates: 0.243445, iterations: 2145700,reward: -2431.633615
Episode 4400, Average_updates: 0.244527, iterations: 2195600,reward: -2444.650274
Episode 4500, Average_updates: 0.242977, iterations: 2245500,reward: -2425.788101
Episode 4600, Average_updates: 0.242803, iterations: 2295400,reward: -2425.933211
Episode 4700, Average_updates: 0.244178, iterations: 2345300,reward: -2438.449724
Episode 4800, Average_updates: 0.243776, iterations: 2395200,reward: -2434.934988
Episode 4900, Average_updates: 0.241409, iterations: 2445100,reward: -2413.049639
Episode 5000, Average_updates: 0.243465, iterations: 2495000,reward: -2436.120423
Episode 5100, Average_updates: 0.242831, iterations: 2544900,reward: -2426.280218
Episode 5200, Average_updates: 0.242930, iterations: 2594800,reward: -2425.774972
Episode 5300, Average_updates: 0.242854, iterations: 2644700,reward: -2426.183019
Episode 5400, Average_updates: 0.242730, iterations: 2694600,reward: -2423.984579
Episode 5500, Average_updates: 0.242616, iterations: 2744500,reward: -2422.518554
Episode 5600, Average_updates: 0.240841, iterations: 2794400,reward: -2404.496132
Episode 5700, Average_updates: 0.243345, iterations: 2844300,reward: -2429.772275
Episode 5800, Average_updates: 0.243067, iterations: 2894200,reward: -2427.750254
Episode 5900, Average_updates: 0.243313, iterations: 2944100,reward: -2430.522633
Episode 6000, Average_updates: 0.243905, iterations: 2994000,reward: -2437.029441
Episode 6100, Average_updates: 0.243023, iterations: 3043900,reward: -2426.998390
Episode 6200, Average_updates: 0.243132, iterations: 3093800,reward: -2430.622083
Episode 6300, Average_updates: 0.241738, iterations: 3143700,reward: -2414.698035
